GlucoseInternalTime,GlucoseValue
1447147044.0,10.16
1447147344.0,9.88
1447147644.0,9.88
1447147944.0,9.93
1447148244.0,9.99
1447148544.0,9.99
1447148844.0,9.88
1447149144.0,9.77
1447149444.0,9.77
1447149744.0,9.99
1447150044.0,10.32
1447150344.0,10.65
1447150644.0,10.82
1447150944.0,10.88
1447151244.0,10.82
1447151544.0,10.82
1447151844.0,10.82
1447152144.0,10.77
1447152444.0,10.82
1447152744.0,10.88
1447153044.0,10.93
1447153344.0,10.99
1447153644.0,11.10
1447153944.0,11.15
1447154244.0,11.21
1447154544.0,11.32
1447154844.0,11.27
1447163243.0,10.82
1447163543.0,10.71
1447163843.0,10.54
1447164143.0,10.43
1447164443.0,10.32
1447164743.0,10.27
1447165043.0,10.21
1447165343.0,10.21
1447165643.0,10.21
1447165943.0,10.16
1447166243.0,9.82
1447166543.0,9.93
1447166843.0,10.10
1447167144.0,10.04
1447167443.0,10.04
1447167743.0,10.16
1447168043.0,10.27
1447168343.0,10.21
1447168643.0,10.21
1447168943.0,10.10
1447169243.0,10.04
1447169543.0,9.88
1447169843.0,9.88
1447170143.0,9.82
1447170443.0,9.88
1447170744.0,9.99
1447171043.0,9.99
1447171343.0,9.82
1447171643.0,9.66
1447171943.0,9.49
1447172243.0,9.27
1447172543.0,11.82
1447172843.0,11.54
1447173143.0,11.99
1447173443.0,12.04
1447173743.0,12.10
1447174043.0,12.04
1447174343.0,11.76
1447174643.0,11.43
1447174943.0,11.21
1447175243.0,10.99
1447175543.0,10.71
1447175843.0,10.65
1447176143.0,10.43
1447176443.0,10.27
1447176743.0,10.10
1447177043.0,10.16
1447177343.0,10.27
1447177643.0,10.32
1447177943.0,10.21
1447178243.0,9.93
1447178543.0,9.49
1447178843.0,8.82
1447179143.0,8.32
1447179443.0,8.10
1447179743.0,7.99
1447180043.0,7.88
1447180343.0,7.88
1447180643.0,7.82
1447180943.0,7.66
1447181243.0,7.55
1447181543.0,7.49
1447181843.0,7.49
1447182143.0,7.38
1447182443.0,7.27
1447182743.0,6.94
1447183043.0,6.38
1447183343.0,5.55
1447183643.0,4.99
1447183943.0,4.72
1447184243.0,4.55
1447184543.0,4.44
1447184843.0,4.33
1447185143.0,4.27
1447185443.0,4.33
1447185743.0,4.50
1447186043.0,4.55
1447186343.0,4.44
1447186643.0,4.27
1447186943.0,4.22
1447187243.0,4.27
1447187543.0,4.33
1447187843.0,4.44
1447188143.0,4.55
1447188443.0,4.66
1447188743.0,4.61
1447189043.0,4.72
1447189343.0,4.61
1447189643.0,4.77
1447189943.0,4.99
1447190243.0,5.60
1447190543.0,6.22
1447190843.0,7.16
1447191143.0,6.55
1447191443.0,7.10
1447191743.0,7.38
1447192043.0,7.27
1447192343.0,7.10
1447192643.0,6.88
1447192943.0,6.77
1447193243.0,6.66
1447193543.0,5.83
1447193843.0,5.49
1447194143.0,5.11
1447194443.0,4.77
1447194743.0,4.55
1447195043.0,4.44
1447195343.0,4.33
1447195643.0,4.22
1447195943.0,4.11
1447196243.0,4.00
1447196543.0,3.83
1447196843.0,3.77
1447197143.0,3.88
1447197443.0,4.00
1447197743.0,4.22
1447198043.0,4.33
1447198343.0,4.33
1447198643.0,4.38
1447198943.0,4.44
1447199243.0,4.33
1447199543.0,4.22
1447199843.0,4.11
1447200143.0,3.88
1447200443.0,3.83
1447200743.0,3.66
1447201043.0,3.55
1447201343.0,3.55
1447201643.0,3.50
1447201943.0,3.33
1447202243.0,3.22
1447202543.0,3.33
1447202843.0,3.50
1447203143.0,3.77
1447203443.0,3.94
1447203743.0,4.66
1447204043.0,5.16
1447204343.0,5.72
1447204642.0,6.49
1447204942.0,7.27
1447205242.0,8.16
1447205542.0,9.16
1447205842.0,10.04
1447206143.0,11.04
1447206443.0,11.76
1447206742.0,12.49
1447207042.0,12.82
1447207342.0,12.76
1447207642.0,13.04
1447207942.0,13.37
1447208243.0,13.43
1447208543.0,13.04
1447208843.0,12.99
1447209142.0,12.71
1447209442.0,12.43
1447209742.0,12.26
1447210042.0,12.26
1447210342.0,12.10
1447210642.0,11.88
1447210942.0,11.54
1447211242.0,10.93
1447211542.0,9.99
1447211843.0,8.93
1447212142.0,7.88
1447212442.0,7.05
1447212742.0,6.44
1447213042.0,5.99
1447213342.0,5.77
1447213642.0,5.49
1447213943.0,5.16
1447214242.0,4.99
1447214542.0,4.88
1447214842.0,4.72
1447215142.0,4.44
1447215442.0,4.27
1447215742.0,4.11
1447216042.0,3.88
1447216342.0,3.50
1447216642.0,3.11
1447216942.0,2.66
1447217242.0,2.44
1447217542.0,2.50
1447217842.0,2.50
1447218142.0,2.72
1447218442.0,3.44
1447218742.0,4.61
1447219042.0,5.99
1447219342.0,7.27
1447219642.0,8.05
1447219942.0,8.27
1447220242.0,8.10
1447220542.0,7.82
1447220842.0,7.71
1447221142.0,7.71
1447221442.0,7.94
1447221742.0,8.66
1447222042.0,8.82
1447222342.0,8.82
1447222642.0,8.88
1447222942.0,8.77
1447223242.0,8.60
1447223542.0,8.49
1447223842.0,8.49
1447224142.0,8.55
1447224442.0,8.38
1447224742.0,8.10
1447225042.0,8.16
1447225342.0,8.27
1447225642.0,8.55
1447225942.0,8.82
1447226242.0,8.93
1447226542.0,9.10
1447226842.0,9.32
1447227142.0,9.27
1447227442.0,9.49
1447227742.0,9.71
1447228042.0,10.21
1447228342.0,10.38
1447228642.0,10.77
1447228942.0,10.88
1447229242.0,10.99
1447229542.0,10.88
1447229842.0,10.60
1447230142.0,10.21
1447230442.0,10.04
1447230742.0,10.04
1447231042.0,10.04
1447231342.0,10.04
1447231642.0,10.04
1447231942.0,9.88
1447232242.0,9.71
1447232542.0,9.60
1447232842.0,9.77
1447233142.0,9.71
1447233442.0,9.60
1447233742.0,9.99
1447234042.0,10.16
1447234342.0,10.04
1447234642.0,9.88
1447234942.0,9.82
1447235242.0,9.93
1447235542.0,10.10
1447235842.0,10.32
1447236142.0,10.43
1447236442.0,10.54
1447236742.0,10.60
1447237042.0,10.60
1447237342.0,10.54
1447237642.0,10.49
1447237942.0,10.43
1447238242.0,9.66
1447238542.0,9.60
1447238842.0,9.88
1447239142.0,9.71
1447239442.0,9.71
1447239742.0,9.77
1447240042.0,9.71
