Start,Finish,Heart Rate (count/min)
1447062060.0,1447062060.0,108.0
1447062120.0,1447062120.0,108.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,108.0
1447062120.0,1447062120.0,108.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062120.0,1447062120.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,107.0
1447062180.0,1447062180.0,108.0
1447062180.0,1447062180.0,109.0
1447062180.0,1447062180.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,109.0
1447062240.0,1447062240.0,107.0
1447062240.0,1447062240.0,107.0
1447062240.0,1447062240.0,107.0
1447062240.0,1447062240.0,105.0
1447062240.0,1447062240.0,104.0
1447062300.0,1447062300.0,104.0
1447062300.0,1447062300.0,104.0
1447062300.0,1447062300.0,104.0
1447062300.0,1447062300.0,106.0
1447062300.0,1447062300.0,107.0
1447062300.0,1447062300.0,106.0
1447062300.0,1447062300.0,106.0
1447062300.0,1447062300.0,106.0
1447062300.0,1447062300.0,106.0
1447062300.0,1447062300.0,106.0
1447062300.0,1447062300.0,107.0
1447062300.0,1447062300.0,107.0
1447062360.0,1447062360.0,107.0
1447062360.0,1447062360.0,107.0
1447062360.0,1447062360.0,105.0
1447062360.0,1447062360.0,103.0
1447062360.0,1447062360.0,101.0
1447062360.0,1447062360.0,101.0
1447062360.0,1447062360.0,101.0
1447062360.0,1447062360.0,102.0
1447062360.0,1447062360.0,102.0
1447062360.0,1447062360.0,102.0
1447062360.0,1447062360.0,102.0
1447062360.0,1447062360.0,102.0
1447062420.0,1447062420.0,102.0
